Store Name,Latitude,Longitude,Store Address,Suburb/City,Postal Code,Country,Phone,Open Hours
Ashmore,-27.978529,153.380707,"ASHMORE CITY, SHOP 30 208 CURRUMBURRA ROAD",ASHMORE CITY,QLD 4214,AU,07 5597 0342,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 7:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 3:00 PM"
Browns Plains,-27.665473,153.045066,18 COMMERCE DRIVE Shop J08,BROWNS PLAINS,QLD 4118,AU,07 3086 9653,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 7:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 5:00 PM"
Bundaberg,-24.889796,152.321957,7 JOHANNA BOULEVARD SHOP 3,KENSINGTON,QLD 4670,AU,07 4151 6026,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 6:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 5:00 PM"
Burleigh,-28.101052,153.437566,197-207 REEDY CREEK ROAD,BURLEIGH HEADS,QLD 4220,AU,07 5520 5231,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 7:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 4:00 PM"
Chancellor Park,-26.719903,153.047175,30 CHANCELLOR VILLAGE BOULEVARD SHOP 1,SIPPY DOWNS,QLD 4556,AU,07 5456 2144,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 7:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 5:00 PM"
Deception Bay,-27.194482,153.029156,"MARKET SQUARE DECEPTION BAY, CNR DECEPTION BAY ROAD AND BAY AVENUE",DECEPTION BAY,QLD 4508,AU,07 3203 1063,"MONDAY 8:30 AM to 5:00 PM
TUESDAY 8:30 AM to 5:00 PM
WEDNESDAY 8:30 AM to 5:00 PM
THURSDAY 8:30 AM to 6:00 PM
FRIDAY 8:30 AM to 5:00 PM
SATURDAY 9:00 AM to 5:00 PM
SUNDAY 9:00 AM to 3:00 PM"
Gladstone,-23.854717,151.248971,Shop 16-18 Gladstone Central Shopping Centre 65/69 Dawson Hwy,WEST GLADSTONE,QLD 4680,AU,07 4972 1232,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 6:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 5:00 PM"
Helensvale,-27.923544,153.334846,"SHOP 24 HELENSVALE PLAZA, 12 SIR JOHN OVERALL DRIVE",HELENSVALE,QLD 4212,AU,07 5529 9373,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 7:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 4:00 PM"
Kallangur,-27.241593,152.993604,"SHOP MM1 LILLYBROOK SHOPPING CENTRE, 1 BRICKWORKS ROAD",KALLANGUR,QLD 4503,AU,07 3880 6053,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 6:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 5:00 PM"
Kawana Waters,-26.70117,153.129487,134 POINT CARTWRIGHT DRIVE,BUDDINA,QLD 4575,AU,07 5452 6954,"MONDAY 8:30 AM to 5:30 PM
TUESDAY 8:30 AM to 5:30 PM
WEDNESDAY 8:30 AM to 5:30 PM
THURSDAY 8:30 AM to 7:00 PM
FRIDAY 8:30 AM to 5:30 PM
SATURDAY 8:30 AM to 5:00 PM
SUNDAY 9:00 AM to 4:00 PM"
